id,duration,bitrate,bitrate.video.,height,width,frame.rate,frame.rate.est..,codec,category
ONYh-dlLrlU,180,546,452,320,240,25,0,h264,Sports
Qskq-1nSyu4,89,3193,2999,1280,720,25,25,h264,Sports
svVD-AbDZy8,19,734,676,640,480,29.97,0,h264,Film & Animation
MaUZ-fQKJz8,85,1150,1051,654,480,29.97,0,h264,Music
abhs-y0EBoI,286,473,350,480,360,29.97,29.97,h264,Entertainment
2D6n-l1kZjM,134,417,288,480,360,25,0,h264,Education
z6h0-L2wjpg,900,347,214,640,480,29.97,0,h264,Music
CGf5-O28DGU,1193,835,714,640,480,29.97,0,h264,People & Blogs
IP4d-gjbvtU,49,610,485,640,360,29.97,0,h264,Entertainment
AsJL-jJxGR4,14,421,418,640,480,30,0,h264,Education
q_37-vL5hTs,230,365,245,640,480,29.97,0,h264,Music
fggR-s37mLc,341,2873,2679,1280,720,24,24,h264,Music
PU2V-LMEB8k,333,246,182,640,480,25,0,h264,Gaming
5WOK-yCn75s,31,1696,1502,1920,1080,25,25,h264,Howto & Style
MxrX-zoDOas,134,956,838,640,480,25,0,h264,Music
MKKV-D-baBc,117,962,877,640,480,30,0,h264,Entertainment
wcdZ-sX1HqU,174,905,819,640,480,29.92,0,h264,People & Blogs
d3JE-9Np1vo,19,6200,6005,1920,1080,30,30,h264,Gaming
YWIv-m1FRyU,26,3121,3011,1280,720,29.97,29.99,h264,Entertainment
gDff-I96D3U,527,764,643,854,480,25,0,h264,People & Blogs
BXUy-J_9Ulk,472,600,473,720,480,29.97,0,h264,Gaming
dHsC-AQirbU,169,2639,2485,1280,720,29.97,29.97,h264,Music
7wvf-V2nBeM,83,468,338,360,480,30,0,h264,Entertainment
3nbO-DvY9LI,199,2660,2505,1920,1080,29.97,29.97,h264,Gaming
2hyj-otMD4o,41,1084,893,1280,720,30,30,h264,People & Blogs
iWgG-H5K76I,904,418,289,320,240,18,0,h264,News & Politics
4hdO-r04iVI,27,1216,1158,640,480,24,0,h264,Gaming
JOfL-gvo3wk,233,391,260,192,144,16,0,h264,Comedy
Ma8U-nrfOjI,77,498,369,640,360,25,0,h264,Entertainment
C_oG-MCFHfY,70,2459,2312,1280,720,30,30,h264,People & Blogs
SEhu-Cw1Mug,82,1207,1096,854,480,25,0,h264,Entertainment
ZYRV-mzoRs0,453,723,599,640,480,30,0,h264,People & Blogs
G8yA-WsLnZ0,55,2715,2520,1280,720,29.97,29.97,h264,People & Blogs
fQRU-QjpnzA,195,661,503,1920,1080,29.92,29.97,h264,People & Blogs
VjeQ-pTXPBE,1040,3847,3653,1920,1080,29.97,29.97,h264,Gaming
mfUZ-e4VsfY,138,2499,2342,1280,720,24,24,h264,Music
hIQ0-zVXyeA,8,431,296,640,480,29.97,0,h264,People & Blogs
uQ8B-kRi8ZY,108,419,0,600,480,0,0,h264,People & Blogs
ZCxJ-K4nwAo,151,684,690,696,480,10,0,h264,People & Blogs
XhDC-1ELCII,125,699,608,568,320,30,0,h264,Music
ak_J-WFfbzs,486,777,694,600,480,25,0,h264,Education
ANXQ-m3_rzo,342,150,84,320,240,30,0,h264,People & Blogs
wl19-BkuG4U,168,321,191,1920,1080,29.92,29.92,h264,Howto & Style
KQR6-u9HrCQ,54,632,520,480,360,30,30,h264,Comedy
hAOX-UH4VgY,132,3121,2962,1280,720,30,30,h264,Gaming
E4yM-vLfL5U,1293,2064,1870,1280,720,29.97,29.97,h264,People & Blogs
A_TS-dT8q3c,803,2654,2460,1280,720,30,30,h264,Gaming
wgREN1-H2AY,310,1610,1415,1440,1080,29.97,29.97,h264,Entertainment
0KPQ-yRA2ys,180,969,873,720,480,29.92,0,h264,Nonprofits & Activis
8YQH-FBv8Yw,241,680,556,854,480,29.97,0,h264,Film & Animation
aKBf-C-kGH0,250,297,163,368,208,29.97,0,h264,Music
uVjo-_7bRwM,314,432,302,352,288,25,25,h264,Music
SVzq-tsDpn8,1488,177,43,286,268,10,0,h264,Comedy
hoik-3dDMmM,338,275,175,640,480,25,0,h264,Music
Nf0l-myTWbI,14,1295,1183,854,480,29.97,0,h264,Nonprofits & Activis
S7m2--kIlY0,9,400,297,640,360,23,0,h264,People & Blogs
DYuP-hO4BSc,1254,755,632,854,480,29.97,0,h264,Gaming
BEAF-W3B8qU,219,2312,2183,1280,720,29.92,29.92,h264,Gaming
H4LW-wepBl8,651,1716,1584,1280,720,25,25,h264,Education
_Lqh9cHtuGU,237,2469,2274,1280,720,25,25,h264,People & Blogs
NVJj-h8G7K0,114,420,300,384,216,29.97,0,h264,Autos & Vehicles
fdxg-GYReXg,54,1780,1807,720,480,29.92,0,h264,Comedy
l-CI-Ii6AXc,236,390,262,640,360,6,0,h264,Music
9tpZ-dPklvo,35,874,821,640,480,25,0,h264,Pets & Animals
dm_l-pN1yXk,97,433,335,272,480,30,0,h264,Comedy
mkiL-xtEuP4,199,622,502,480,360,29.97,29.97,h264,Film & Animation
q6s3-5tnLbI,253,338,271,320,240,25,0,h264,Music
kvJV-Zr3cwQ,14,627,532,568,320,30,0,h264,Sports
JRoe-XP7XBE,259,1189,1134,640,480,30,0,h264,Travel & Events
Qhsr-FBpbWw,364,4918,4762,1920,1080,29.92,29.97,h264,Entertainment
7BFB-fUGGQo,144,540,412,640,360,24,0,h264,People & Blogs
zLry-0Oddmo,562,1741,1546,1920,1080,23.98,23.98,h264,Film & Animation
nVLb-fbZMy0,362,3088,2934,1280,720,25,25,h264,Music
faIP-GnaGGY,83,2798,2672,1920,1080,23.98,23.98,h264,Travel & Events
52fn-L93CoE,458,411,335,640,480,14.99,0,h264,Music
AJN_-iVd7LM,61,2240,2085,1280,720,30,30,h264,Education
1Vq6-f1kYeM,128,3275,3081,1920,1080,23.98,23.98,h264,Music
K-TX-SX2MEQ,62,1290,1180,854,480,30,0,h264,Gaming
AHog-vuoON4,63,556,481,360,480,30,0,h264,Music
9Vjw-8mQUyc,39,410,332,272,480,30,0,h264,Comedy
hkTp-52U59M,262,169,101,640,480,25,0,h264,Music
3oTA-DwF6is,746,261,159,854,480,29.92,0,h264,Music
76yV-TxnFo0,70,397,267,320,240,20,0,h264,Autos & Vehicles
q69z-iW_Nfg,48,567,493,360,480,30,0,h264,People & Blogs
TfQs-oqUbDY,47,627,507,640,480,25,0,h264,News & Politics
3UxE-2M6CHU,10,588,501,352,288,15,15,h264,Comedy
TOWG-DXBejY,51,408,277,320,240,29.97,0,h264,People & Blogs
FIdv-d7hWZs,1121,1033,919,720,480,15,0,h264,Entertainment
ZdFi-oPzyFE,72,375,296,192,144,15,0,h264,News & Politics
rbdP-WbuXc4,564,3087,2892,1280,720,29.97,29.97,h264,Gaming
Owkd-_hAdas,14,377,297,320,240,30,0,h264,Entertainment
GW8S-p9IEMY,287,959,841,720,480,30,0,h264,Sports
2C0G-lLm7sA,41,1035,919,854,480,29.97,0,h264,News & Politics
ynnh-S3Cy5Q,389,193,58,300,300,25,0,h264,Entertainment
DJna-G4g-Ms,17,178,123,176,132,47.75,0,h264,Music
xdxz-VHwAzw,47,395,298,320,240,14.92,0,h264,People & Blogs
yN4E-SC1Zkw,14,454,324,640,480,25,0,h264,Gaming
qdYW-d0DFFI,30,6145,5999,1920,1080,29.97,29.97,h264,Comedy
uVNP-oPWxos,9,2929,2738,1920,1080,29.97,29.97,h264,Gaming
d4Km-ArZJAs,21,1180,1066,854,480,30,0,h264,Gaming
C3_v-0PL03E,85,1248,1193,640,480,10,0,h264,Sports
nhsY--ETL-g,578,789,673,450,360,25,0,h264,Comedy
3cPt-d5vobE,20,2715,2520,1920,1080,29.97,29.97,h264,Autos & Vehicles
8kDm-ER3ckw,84,2445,2299,1280,720,14.58,14.58,h264,Gaming
RJnv-Quxqns,292,705,581,640,480,25,0,h264,Film & Animation
CzcN-NAHc0I,22,872,815,640,480,30,0,h264,Sports
P6KN-BOFMfs,387,1179,1131,640,480,25,0,h264,Music
S0bQ-CeJSFs,176,221,125,176,132,7.04,7.04,h264,Entertainment
cfk_-rq4ueU,108,1157,1097,800,480,30,0,h264,Entertainment
8oiOHX1Dqqg,78,1770,1576,1280,720,29.97,29.97,h264,Gaming
hSQ1-PBM8H4,362,1137,1024,854,470,29.97,0,h264,Travel & Events
xT-Z-iurwK0,73,901,782,600,480,25,0,h264,Film & Animation
2sco-7--vVA,126,754,631,640,480,30,0,h264,Pets & Animals
QzQk-eF7vZE,124,862,820,320,240,29.67,0,h264,People & Blogs
ro9E-tjNX4A,237,144,6,640,480,30,0,h264,Music
BiE1-n-7rmQ,355,1405,1251,1280,720,29.97,29.97,h264,Music
BSzgcKfbTuQ,97,620,501,480,360,29.97,29.97,h264,Entertainment
04v0-HGKw8o,66,4486,4340,720,1280,23.98,23.98,h264,People & Blogs
X2ii--xMMM8,95,620,496,640,360,23.98,0,h264,People & Blogs
SPi9-fswSVE,54,2546,2400,1280,720,30,30,h264,Gaming
eVJq-J7fqrM,50,1052,946,854,480,30,0,h264,Pets & Animals
m_Zu-PyDGow,710,1048,965,600,480,25,0,h264,News & Politics
1-Qg-02BQ70,240,1044,929,854,480,29.97,0,h264,Entertainment
CWqG-jW-B6k,37,907,820,640,352,30,0,h264,People & Blogs
A3j9-opGVVY,15,611,501,480,360,30,30,h264,People & Blogs
Mf1T-Lun4ws,28,427,297,322,240,29.92,0,h264,Entertainment
aYI2-o9wtnc,534,1888,1694,1280,720,29.97,29.97,h264,Gaming
D8n6-4AZQVY,72,876,822,640,480,29.97,0,h264,Education
SSBN-1ilK2o,665,3052,2918,1280,720,29.92,29.97,h264,Gaming
tBbT-YaVJdc,163,713,589,640,480,30,0,h264,People & Blogs
-67GXNxzyJU,245,3529,3424,1920,1080,29.97,29.97,h264,Autos & Vehicles
wSQm-IXZWFw,61,353,254,320,240,20,0,h264,Autos & Vehicles
rKkp-5-zLLA,107,294,222,320,240,25,0,h264,People & Blogs
98zk-t9E8bY,38,553,458,640,480,29.97,0,h264,Music
ubN-lUn9EZ4,487,462,332,480,272,29.97,0,h264,News & Politics
lcQd-pKbSiw,31,2430,2236,1280,720,25,25,h264,Entertainment
fqDM-EkD5Yk,79,586,459,640,480,29.08,0,h264,Autos & Vehicles
vO-E-bcjIBE,41,1068,952,720,480,29.97,0,h264,Travel & Events
ZWEN-71BqPs,973,1214,1019,960,720,29.97,29.97,h264,Gaming
pILv-RiVF3k,112,532,437,320,240,29.97,0,h264,Nonprofits & Activis
mR5v-xHR0EY,761,1760,1565,1920,1080,24,24,h264,News & Politics
Zour-_BBEdE,244,267,200,320,240,30,0,h264,Entertainment
NrxJ-q51_Jg,164,446,316,640,360,30,0,h264,Howto & Style
V4MX-cL8dyk,25,6142,5999,1920,1080,24,24,h264,Music
dkBL-deVGA8,147,452,323,640,480,25,0,h264,People & Blogs
CYCF-q44evU,184,438,309,480,360,18.83,0,h264,People & Blogs
uvDm-8ENEz4,50,915,795,720,480,29.97,0,h264,News & Politics
mwbJ-6m2ZXw,68,705,581,640,352,30,0,h264,People & Blogs
rcEE-1VvkEs,45,431,333,272,480,30,0,h264,Comedy
kb1g--DGXe4,25,405,290,432,240,15,0,h264,Film & Animation
BdSs-sfXmls,48,424,293,854,480,25,0,h264,Travel & Events
BJYr-zSfbJE,251,2860,2666,1440,1080,29.97,29.97,h264,People & Blogs
2gzc-lWfqL4,513,350,253,640,480,6,0,h264,People & Blogs
6ZPm-QKfVRg,186,423,292,640,480,30,0,h264,Science & Technology
Aca7-eVDo5A,86,3194,3000,1280,720,29.97,29.97,h264,Autos & Vehicles
lLdk-sD2zGA,9,469,371,320,240,30,0,h264,People & Blogs
lH_X-6puneY,172,145,7,854,480,29.97,0,h264,Music
SMOs-TM6Ol0,117,228,165,176,132,40.08,0,h264,Gaming
0PQE-iEmgG8,324,761,639,600,480,25,0,h264,Autos & Vehicles
ZNAC-mkjO_Q,161,376,297,192,144,29.97,0,h264,People & Blogs
n9t5-UDXj5Y,15,1123,969,1192,720,30,30,h264,Sports
8u-D-mVcC3w,230,557,430,640,480,25,0,h264,Entertainment
im3k-I8aUHw,89,692,568,656,480,25,0,h264,Science & Technology
p4Lj-cz5NhY,146,467,338,640,360,25,0,h264,Science & Technology
113L-suj6mc,7,3230,3072,1280,720,29.92,29.92,h264,Gaming
oHi5-FKA-fA,27,671,613,640,352,24.08,0,h264,Autos & Vehicles
k7KK-EEeupg,141,682,558,640,360,29.97,0,h264,Entertainment
fdF0-FcOttg,16,375,298,640,360,8,0,h264,People & Blogs
gebJ-nGyUqs,18,941,877,640,480,25,0,h264,People & Blogs
q_gG-SoK0_A,711,744,621,712,480,29.97,0,h264,News & Politics
LawK-WPnLAc,464,4999,4840,1920,1080,29.92,29.97,h264,Sports
TpW1-Y0SzvU,421,1222,1028,1280,720,30,30,h264,Gaming
KtGj-92mpwY,18,5330,5135,1920,1080,25,25,h264,Entertainment
arAq-B7f8rI,446,483,356,640,480,15,0,h264,People & Blogs
kvZh--yJncA,126,419,371,320,240,15,0,h264,Autos & Vehicles
fyu1-nK6r7E,287,438,308,480,270,29.97,0,h264,Music
DKkZ-9ELaCk,31,317,218,176,144,29.25,0,h264,People & Blogs
P2NW-d_35gk,275,592,466,512,288,30,0,h264,People & Blogs
g7hr-Cxlnhw,24,1104,1033,720,480,25,0,h264,Entertainment
ba_v-o776mg,290,2068,1940,1280,720,29.97,29.97,h264,Music
MGMj-USbk6o,183,498,435,320,240,29.5,0,h264,Music
mr9y-OljTv0,1,5839,5934,1920,1080,29.92,29.92,h264,Entertainment
mHEr-0luBz8,174,404,306,640,480,25,0,h264,Film & Animation
mV-U-pisQbY,414,694,614,640,480,29.97,0,h264,Music
viTD-va1FGk,226,2767,2573,1280,720,29.97,29.97,h264,Sports
zUJ6-_xgEXM,142,874,820,640,480,29.97,0,h264,Entertainment
qxM1-r2KSGs,41,4121,3928,1906,1080,27,27,h264,People & Blogs
std2--r-lKs,878,264,133,480,360,25,0,h264,People & Blogs
Iiqw-tHRHtQ,125,480,351,638,360,25,0,h264,Travel & Events
_STz-eSCns8,35,92,84,208,160,8,0,h264,Entertainment
MhjW-m0Rqg8,165,2127,1995,1280,720,29.97,29.97,h264,Gaming
j1de-hOLRjk,292,373,295,176,132,25,0,h264,People & Blogs
6a0f-TR-eRo,174,2615,2421,1280,720,25,25,h264,Autos & Vehicles
nLq0-mPZlV4,19,403,305,320,240,16,0,h264,Entertainment
I8Gt-ibBmsQ,256,130,54,320,240,25,0,h264,Music
TM4y-M1zdw0,1287,445,315,640,360,25,0,h264,Entertainment
d2nr-WsH6tQ,63,762,639,600,480,25,0,h264,News & Politics
MhLL-b5Qg-w,73,872,752,640,360,29.97,0,h264,People & Blogs
Db5Y-IEEt1c,159,3106,2912,1280,720,29.97,29.97,h264,Gaming
iauK-V5L898,323,2339,2257,1280,720,29.92,29.97,h264,Music
M0BT-gyzgXE,30,2139,2046,1280,720,29.92,29.92,h264,Entertainment
sORv-e8CT7M,41,381,304,320,240,15,0,h264,Entertainment
xul9-vfCPRg,53,3196,3002,1280,720,29.97,29.97,h264,Gaming
Q08-TfE0dWo,367,4993,4799,1920,1080,25,25,h264,Music
v8y6-wxCydY,4616,4137,3943,1920,1080,29.97,29.97,h264,Gaming
bVI7-h2r0L8,29,341,337,600,480,25,0,h264,Science & Technology
4rIe-_Na8Pk,49,526,398,568,320,25,0,h264,Film & Animation
Pp9n-pQ8en8,186,599,473,640,480,25,0,h264,Science & Technology
xEE0-6HNXB4,235,281,201,320,240,30,0,h264,Music
Rgl6-rbrUGo,121,330,198,640,480,25,0,h264,Music
lwsv-WsvWvY,214,590,464,640,480,25,0,h264,People & Blogs
CG1F-7BgnYs,237,1274,1199,640,480,15,0,h264,Music
1PRB-lg6g0c,184,496,367,640,480,30,0,h264,Music
LxyZ-fHh3eo,167,900,781,640,358,29.97,0,h264,Howto & Style
3fIh-Q2T0lY,267,801,680,640,480,30,0,h264,Sports
8o-l-iO0y78,312,632,501,480,320,25,25,h264,Autos & Vehicles
QBVg-jx26lY,346,767,0,640,480,0,0,h264,Comedy
YJKM-XwN8o8,39,1172,978,788,720,6,6,h264,People & Blogs
UD-2-9UQuGY,1186,3126,2931,1280,720,29.97,29.97,h264,Gaming
2G9i-NPPjQ0,145,368,230,854,480,6,0,h264,People & Blogs
v26U-7JvtnI,220,300,166,320,240,29.97,0,h264,Music
9XRf-Rbyo4s,243,1240,1179,640,480,29.97,0,h264,Entertainment
Kx0k-ms_A8s,44,2335,2188,960,720,30,30,h264,People & Blogs
6ol8-UxIYsE,297,677,575,640,480,29.97,0,h264,People & Blogs
gNNX-YCbLp0,348,291,237,320,240,29.17,0,h264,People & Blogs
e2nx-zDEMTE,12,510,384,352,264,30,30,h264,People & Blogs
6uwx-D7RnJw,61,622,501,320,240,29.97,29.97,h264,Travel & Events
4EBr-bYjK3o,29,402,357,384,288,15.08,0,h264,Sports
wjDz-fSqrnQ,267,422,292,640,360,29.97,0,h264,Entertainment
RIcJ-YSEdms,168,609,500,480,360,24.99,24.99,h264,Film & Animation
OzjB-54X8qY,843,477,348,320,240,25,0,h264,People & Blogs
wiS4-Dtr4f8,208,436,306,320,240,29.97,0,h264,People & Blogs
71lY-T_VsE0,183,1003,886,852,480,30,0,h264,Gaming
OFEG-p3uaUU,104,1237,1180,640,480,29.97,0,h264,Entertainment
RNN3-y5ARZ0,264,1025,901,720,480,25,0,h264,Music
AIEb-8QeIMQ,49,637,508,480,360,29.95,29.95,h264,Entertainment
H60z-wbUFEU,366,2235,2041,1920,1080,25,25,h264,Gaming
r7G5-KFM4Sc,30,687,562,640,480,29.97,0,h264,Gaming
HWEO-hoTfdA,362,448,318,640,480,29.97,0,h264,Music
vwKM-MDITZs,55,518,392,640,360,29.97,0,h264,Sports
8FfL-wABivY,308,474,345,534,360,29.92,0,h264,People & Blogs
Z_ki-Qxdqzc,66,871,805,568,320,29.97,0,h264,Sports
6TEd-UzOPdw,30,402,304,320,240,47.08,0,h264,Entertainment
wjUW-rb57fI,152,384,307,320,240,22,0,h264,Entertainment
C0De-a019AE,61,425,0,320,240,12,0,h264,Autos & Vehicles
t1jw9dXZWZs,569,744,692,480,320,29.97,0,h264,People & Blogs
33m6-aKhRxM,840,434,306,720,480,17.75,0,h264,Gaming
7a5Y-D95D1Y,71,303,173,144,192,10,0,h264,Comedy
V_1Y-MHKbk4,30,426,295,320,240,25,0,h264,Education
uRiT-4tM95g,173,4136,3942,1920,1080,25,25,h264,Music
ueZ7-e8xmVg,475,424,293,480,360,29.97,0,h264,News & Politics
R0vt-3REFVU,223,438,308,480,272,30,0,h264,News & Politics
jS9g-prWO5k,636,5660,5465,1920,1080,26.83,26.85,h264,People & Blogs
BAlQ-VndyuQ,105,860,773,768,480,30,0,h264,Sports
dvOQ-PT2I7c,137,245,171,320,240,25,0,h264,Howto & Style
k-gs-Wfk9gI,197,787,674,640,360,29.97,0,h264,Music
yiFQ-S-Sv5M,113,693,610,640,480,45.75,0,h264,People & Blogs
yk6B-Ii1BM8,64,6144,6009,1920,1080,29.92,29.96,h264,People & Blogs
1jPg-o0DRiE,41,427,297,480,360,25,0,h264,Travel & Events
i3dBk0xN708,83,380,332,320,240,15,0,h264,Autos & Vehicles
ZB8L-zCbSMw,27,6391,6199,1920,1080,29.97,29.97,h264,People & Blogs
U7n_qKGtPZ4,64,867,820,640,360,29.97,0,h264,Sports
KZPy-nVBFoA,31,550,422,640,360,25,0,h264,People & Blogs
_iE-ujNmS0s,398,782,677,640,360,29.97,0,h264,Music
8h1N-fPyvgg,31,446,371,320,240,15,0,h264,Sports
kNjz-wQCcuk,2234,470,340,640,480,29,0,h264,Music
hz8a-GL0GSI,915,417,287,320,240,25,0,h264,People & Blogs
GrQU-yQ4iyY,99,394,297,320,240,15,0,h264,People & Blogs
rnVb-PLO0cA,161,451,349,192,144,15,15,h264,Comedy
oQLB-NM1gKo,11,3192,3000,1280,720,30,30,h264,Gaming
CE6P-CfD1Z0,108,1192,1046,1280,720,10,10,h264,Gaming
RquO-pg-3yA,86,408,352,320,240,30,0,h264,Autos & Vehicles
oxEP-TPSTiQ,18,569,441,1280,720,25,25,h264,Pets & Animals
M7H0-U-Ks0U,36,1742,1586,1280,720,25,25,h264,Film & Animation
RREw-8VgQsI,543,6175,6021,1920,1080,25,25,h264,Music
0CDv-kUvEwI,278,3112,2917,1280,720,29.97,29.97,h264,Entertainment
0qxZ-A36inM,776,2930,2736,1280,720,30,30,h264,Gaming
JsCf-3Gm1RQ,247,1317,1168,1080,720,15,15,h264,Music
3z-v-w_1suA,305,1793,1599,1440,1080,29.97,29.97,h264,Film & Animation
Ul-g-fkG6ec,579,469,408,640,480,25,0,h264,Nonprofits & Activis
dXhB-RznZ74,52,1246,1186,640,480,29.97,0,h264,Comedy
QIKq-ofarUo,79,396,202,960,720,25,25,h264,People & Blogs
b6wj-_qN2vA,7,261,140,176,144,15,0,h264,Sports
haGK-OGEesI,223,4238,4044,1920,1080,29.97,29.97,h264,People & Blogs
tEFo-N0nCBE,26,434,302,320,240,29.97,0,h264,Music
C18R-QAiedU,322,445,314,854,480,30,0,h264,Gaming
iwPG-Fstdp8,100,701,619,640,360,29.97,0,h264,People & Blogs
hKdM-diWjsM,152,961,877,640,480,29.97,0,h264,Entertainment
REkk-PlU1Xo,246,914,795,640,480,30,0,h264,News & Politics
Jo6m-sbxtok,847,463,337,640,480,18,0,h264,People & Blogs
OYOJkamrgys,2562,3146,2952,1280,720,24,24,h264,Sports
JbPj-h-3AIk,68,423,294,320,240,15,0,h264,Music
Xcg-9h1Wjt8,238,2003,1871,1280,720,25,25,h264,Sports
HJv4-p8ngsQ,913,458,329,854,480,25,0,h264,Howto & Style
kLY1-up4-Fs,42,6018,5825,1920,1080,25,25,h264,Pets & Animals
0Hwk-yGT-M4,715,1532,1378,1280,720,29.97,29.97,h264,News & Politics
RPRh-bBydOE,199,864,820,640,360,29.92,0,h264,Travel & Events
ggpu-PRV1Ec,70,441,311,640,356,25,0,h264,Education
Um4U-YHztb8,133,1067,872,1920,1080,25,25,h264,Music
OCBY-TImMRM,34,629,500,480,360,29.97,29.97,h264,Pets & Animals
rdDT-_NAKnU,58,558,463,568,320,30,0,h264,Comedy
Eht6-McPK8Q,209,238,133,192,144,30,30,h264,Comedy
euHb-P_o-7U,9,3249,3090,1280,720,29.97,29.97,h264,People & Blogs
rjHG-OA0Ttk,34,115,106,640,354,15,0,h264,Education
ya2z-NYCDT8,367,432,357,320,240,29.97,0,h264,Music
9LYA-k_PPlc,114,410,280,320,240,15,0,h264,Autos & Vehicles
eBBX-WceDsM,105,765,644,854,480,29.97,0,h264,Film & Animation
Haeb-fXTX-A,118,811,705,640,480,29.97,0,h264,Sports
oAcP-sRPh5o,114,324,192,320,240,25,0,h264,Music
YLH1-UjnfBk,86,831,710,640,360,29.97,0,h264,People & Blogs
_GVy-O9Ken0,600,266,201,320,240,29.92,0,h264,Education
XquK-DnZkBI,169,376,301,176,144,25,0,h264,Comedy
h0gE-qOZq34,27,3151,2998,1280,720,23.98,23.98,h264,Travel & Events
sWlc-_yO37c,10,664,571,408,208,29.97,0,h264,Sports
WxYH-Mcie5Q,176,837,716,600,480,25,0,h264,People & Blogs
3mab-lKugts,210,7173,6979,1920,1080,29.97,29.97,h264,Sports
2SBHF7d7DDU,360,4730,4536,1920,1080,29.97,29.97,h264,Gaming
5Mjn-d2F5pI,19,343,278,320,240,29.97,0,h264,News & Politics
Xki9SboDn4Y,239,433,320,320,240,25,0,h264,Entertainment
MsZ3-hst9kw,86,856,735,720,480,29.97,0,h264,Science & Technology
AOzP-dBiyMY,142,480,350,640,480,23.98,0,h264,People & Blogs
ntoM--P6LdU,35,559,486,320,240,30,0,h264,People & Blogs
VcMp-ODoTcU,373,973,856,854,480,29.97,0,h264,Music
vtCd-dMWLmQ,165,430,300,384,288,29.97,0,h264,People & Blogs
urlG-Glw_T8,143,459,334,640,480,24,0,h264,People & Blogs
Yubc-PU7D0s,48,756,701,480,360,29.97,0,h264,Comedy
IXKc-S9pGo0,102,463,335,320,240,24,24,h264,Entertainment
TnN6-thVlLw,245,201,83,320,240,29.97,0,h264,People & Blogs
LK6r-AvsP7A,183,870,750,854,480,29.97,0,h264,Travel & Events
yo9jgieNxTc,572,547,470,1280,720,10,10,h264,Education
hk6l-ZXoR_Y,91,446,350,350,240,15,0,h264,Comedy
Gupd-EN_114,53,908,821,640,480,29.97,0,h264,Sports
CYI2-zQe7h0,97,682,0,640,480,12,0,h264,People & Blogs
Jqvm-G6sFEc,267,897,833,800,480,20,0,h264,Entertainment
FVi9-lniZzw,56,860,821,640,480,30,0,h264,People & Blogs
SPYI-48UJ3A,35,313,218,320,240,15,15,h264,Entertainment
nWvL-Xh8GvU,23,414,369,320,240,25,0,h264,Comedy
e8_j-FIgnvE,186,1340,1146,1920,1080,29.97,29.97,h264,Music
K8qf-TyJ4AY,40,708,583,640,480,29.67,0,h264,People & Blogs
Sjza-Qd7al8,102,1628,1434,1280,720,25,25,h264,People & Blogs
0bjr-fWOX4E,809,513,441,640,480,10,0,h264,Education
vSuG-Ah6Uw0,328,882,762,854,480,29.97,0,h264,People & Blogs
6Oeo-Nw8KZQ,61,3153,3007,1280,720,23.98,23.98,h264,People & Blogs
E_Ah1WUBmgA,270,526,402,322,240,29.92,0,h264,Music
n0OZ-jx7dWg,212,876,682,1920,1080,29.97,29.97,h264,Music
EIg1-Yq4rbE,705,792,703,640,480,29.97,0,h264,Science & Technology
Q8Oz-n_ROmw,74,699,588,640,480,30,0,h264,Film & Animation
