ID,Store,Crust,Topping,Diameter
116,EagleBoys,DeepPan,Supreme,28.98
124,EagleBoys,DeepPan,Supreme,29.35
233,EagleBoys,DeepPan,Supreme,30.37
244,EagleBoys,DeepPan,Supreme,29.36
7,EagleBoys,Mid,Supreme,29.15
51,EagleBoys,Mid,Supreme,28.72
67,EagleBoys,Mid,Supreme,29.08
93,EagleBoys,Mid,Supreme,28.54
121,EagleBoys,Mid,Supreme,28.47
128,EagleBoys,Mid,Supreme,26.58
136,EagleBoys,Mid,Supreme,29.08
151,EagleBoys,Mid,Supreme,28.42
155,EagleBoys,Mid,Supreme,29.01
164,EagleBoys,Mid,Supreme,28.8
168,EagleBoys,Mid,Supreme,28.79
216,EagleBoys,Mid,Supreme,28.36
221,EagleBoys,Mid,Supreme,28.96
238,EagleBoys,Mid,Supreme,28.76
11,EagleBoys,Thin,Supreme,29.14
16,EagleBoys,Thin,Supreme,29.47
17,EagleBoys,Thin,Supreme,30
82,EagleBoys,Thin,Supreme,30.51
101,EagleBoys,Thin,Supreme,30.08
102,EagleBoys,Thin,Supreme,29.4
122,EagleBoys,Thin,Supreme,29.4
152,EagleBoys,Thin,Supreme,31.06
158,EagleBoys,Thin,Supreme,29.51
162,EagleBoys,Thin,Supreme,29.57
163,EagleBoys,Thin,Supreme,29.27
196,EagleBoys,Thin,Supreme,29.86
214,EagleBoys,Thin,Supreme,29.45
245,EagleBoys,Thin,Supreme,29.34
26,Dominos,Mid,Supreme,26.55
70,Dominos,Mid,Supreme,26.83
76,Dominos,Mid,Supreme,27.04
108,Dominos,Mid,Supreme,27.04
180,Dominos,Mid,Supreme,27.27
182,Dominos,Mid,Supreme,28.9
197,Dominos,Mid,Supreme,27.12
202,Dominos,Mid,Supreme,27.05
207,Dominos,Mid,Supreme,26.97
209,Dominos,Mid,Supreme,27.52
219,Dominos,Mid,Supreme,26.79
225,Dominos,Mid,Supreme,26.54
252,Dominos,Mid,Supreme,26.71
25,Dominos,DeepPan,Supreme,26.5
27,Dominos,DeepPan,Supreme,26.64
30,Dominos,DeepPan,Supreme,26.87
33,Dominos,DeepPan,Supreme,26.61
59,Dominos,DeepPan,Supreme,26.67
62,Dominos,DeepPan,Supreme,26.09
64,Dominos,DeepPan,Supreme,27.12
90,Dominos,DeepPan,Supreme,27.14
137,Dominos,DeepPan,Supreme,26.26
142,Dominos,DeepPan,Supreme,26.16
145,Dominos,DeepPan,Supreme,26.7
228,Dominos,DeepPan,Supreme,26.7
230,Dominos,DeepPan,Supreme,28.79
1,Dominos,Thin,Supreme,29.4
4,Dominos,Thin,Supreme,27.45
21,Dominos,Thin,Supreme,26.38
35,Dominos,Thin,Supreme,29.33
63,Dominos,Thin,Supreme,29.32
86,Dominos,Thin,Supreme,29.17
112,Dominos,Thin,Supreme,29.19
147,Dominos,Thin,Supreme,28.78
176,Dominos,Thin,Supreme,29.33
185,Dominos,Thin,Supreme,29.14
186,Dominos,Thin,Supreme,29.23
190,Dominos,Thin,Supreme,28.32
205,Dominos,Thin,Supreme,28.44
241,Dominos,Thin,Supreme,28.97
248,Dominos,Thin,Supreme,28.84
