Vehicle_name,Sports,Sport_utility,Wagon,Minivan,Pickup,All_wheel_drive,Rear_wheel_drive,Retail_price,Dealer_cost,Engine_size,Cylinders,Kilowatts,Economy_city,Economy_highway,Weight,Wheel_base,Length,Width
Suzuki Forenza S 4dr,0,0,0,0,0,0,0,24538,24232,2,4,89,39,50,1225,259,450,173
Suzuki Forenza EX 4dr,0,0,0,0,0,0,0,31136,30756,2,4,89,35,48,1250,259,450,173
Toyota Corolla CE 4dr,0,0,0,0,0,0,0,28170,26130,1.8,4,97,51,65,1135,259,452,170
Toyota Corolla S 4dr,0,0,0,0,0,0,0,30060,27300,1.8,4,97,51,65,1145,259,452,170
Toyota Corolla LE 4dr,0,0,0,0,0,0,0,30590,27778,1.8,4,97,51,65,1145,259,452,170
Toyota Echo 2dr manual,0,0,0,0,0,0,0,21520,20288,1.5,4,81,56,69,923,236,414,165
Toyota Echo 2dr auto,0,0,0,0,0,0,0,23120,21792,1.5,4,81,53,63,946,236,414,165
Toyota Echo 4dr,0,0,0,0,0,0,0,22580,21284,1.5,4,81,56,69,932,236,414,165
Buick Century Custom 4dr,0,0,0,0,0,0,0,44360,40702,3.1,6,130,32,48,1521,277,495,185
Chevrolet Impala 4dr,0,0,0,0,0,0,0,43800,40190,3.4,6,134,34,52,1572,282,508,185
Chevrolet Malibu 4dr,0,0,0,0,0,0,0,37990,34868,2.2,4,108,39,55,1440,269,478,178
Chevrolet Malibu LS 4dr,0,0,0,0,0,0,0,40740,37278,3.5,6,149,35,48,1495,269,478,178
Chevrolet Monte Carlo LS 2dr,0,0,0,0,0,0,0,43650,40052,3.4,6,134,34,52,1515,282,503,185
Chrysler PT Cruiser 4dr,0,0,0,0,0,0,0,35970,33838,2.4,4,112,35,47,1407,262,429,170
Chrysler PT Cruiser Limited 4dr,0,0,0,0,0,0,0,44000,41146,2.4,4,112,35,47,1408,262,429,170
Chrysler Sebring 4dr,0,0,0,0,0,0,0,38180,35610,2.4,4,112,35,48,1439,274,485,180
Chrysler Sebring Touring 4dr,0,0,0,0,0,0,0,43680,40568,2.7,6,149,34,45,1461,274,485,180
Dodge Intrepid SE 4dr,0,0,0,0,0,0,0,44070,41004,2.7,6,149,34,47,1574,287,518,191
Dodge Stratus SXT 4dr,0,0,0,0,0,0,0,37640,35024,2.4,4,112,34,45,1443,274,485,180
Dodge Stratus SE 4dr,0,0,0,0,0,0,0,40440,37642,2.4,4,112,34,45,1440,274,485,180
Ford Focus SVT 2dr,0,0,0,0,0,0,0,38270,35756,2,4,127,34,45,1247,262,427,170
Ford Taurus LX 4dr,0,0,0,0,0,0,0,40640,37762,3,6,116,32,43,1500,277,503,185
Ford Taurus SES Duratec 4dr,0,0,0,0,0,0,0,45470,41714,3,6,150,31,42,1503,277,503,185
Honda Accord LX 2dr,0,0,0,0,0,0,0,39720,35848,2.4,4,119,42,55,1358,267,478,180
Honda Accord EX 2dr,0,0,0,0,0,0,0,44520,40160,2.4,4,119,42,55,1382,267,478,180
Honda Civic EX 4dr,0,0,0,0,0,0,0,35500,32530,1.7,4,95,51,60,1180,262,445,173
Honda Civic Si 2dr hatch,0,0,0,0,0,0,0,38980,35698,2,4,119,42,48,1262,257,422,170
Honda Civic Hybrid 4dr manual (gas/electric),0,0,0,0,0,0,0,40280,36902,1.4,4,69,74,82,1239,262,445,173
Honda Insight 2dr (gas/electric),0,0,0,0,0,0,0,38220,35822,2,3,54,97,106,839,241,394,170
Hyundai Sonata GLS 4dr,0,0,0,0,0,0,0,38678,35148,2.7,6,127,31,43,1459,269,475,183
Hyundai Sonata LX 4dr,0,0,0,0,0,0,0,40678,36760,2.7,6,127,31,43,1459,269,475,183
Kia Optima LX V6 4dr,0,0,0,0,0,0,0,36870,33700,2.7,6,127,32,43,1487,269,472,183
Mazda3 s 4dr,0,0,0,0,0,0,0,34400,31844,2.3,4,119,,,1253,,,
Mazda6 i 4dr,0,0,0,0,0,0,0,38540,35634,2.3,4,119,39,52,1380,267,475,178
Mercury Sable GS 4dr,0,0,0,0,0,0,0,43190,39696,3,6,116,32,43,1500,277,508,185
Mini Cooper S,0,0,0,0,0,0,0,39998,36274,1.6,4,122,40,55,1215,246,366,170
Mitsubishi Galant ES 2.4L 4dr,0,0,0,0,0,0,0,38624,35914,2.4,4,119,,,1520,274,485,183
Mitsubishi Lancer OZ Rally 4dr auto,0,0,0,0,0,0,0,34464,32392,2,4,89,,,1245,259,460,170
Nissan Altima S 4dr,0,0,0,0,0,0,0,38480,36060,2.5,4,130,34,42,1378,279,488,178
Nissan Sentra SE-R 4dr,0,0,0,0,0,0,0,35280,32888,2.5,4,123,37,45,1252,254,452,170
Oldsmobile Alero GX 2dr,0,0,0,0,0,0,0,37650,35284,2.2,4,104,39,52,1336,272,475,178
Pontiac Grand Am GT 2dr,0,0,0,0,0,0,0,44900,41190,3.4,6,130,32,47,1414,272,472,178
Pontiac Grand Prix GT1 4dr,0,0,0,0,0,0,0,44790,41090,3.8,6,149,32,48,1577,282,503,188
Pontiac Sunfire 1SC 2dr,0,0,0,0,0,0,0,35470,32738,2.2,4,104,39,53,1257,264,462,173
Saturn L300-2 4dr,0,0,0,0,0,0,0,42820,39602,3,6,136,32,45,1450,272,483,175
Subaru Impreza 2.5 RS 4dr,0,0,0,0,0,1,0,39890,36798,2.5,4,123,35,45,1345,251,442,175
Subaru Legacy L 4dr,0,0,0,0,0,1,0,40890,37426,2.5,4,123,34,45,1490,264,467,175
Suzuki Verona LX 4dr,0,0,0,0,0,0,0,34524,34106,2.5,6,116,32,43,1533,269,478,183
Toyota Camry LE 4dr,0,0,0,0,0,0,0,39120,35116,2.4,4,117,39,53,1400,272,480,180
Toyota Camry LE V6 4dr,0,0,0,0,0,0,0,45550,40650,3,6,157,34,47,1495,272,480,180
Toyota Camry Solara SE 2dr,0,0,0,0,0,0,0,39270,35444,2.4,4,117,39,53,1440,272,490,183
Toyota Camry Solara SE V6 2dr,0,0,0,0,0,0,0,43930,39638,3.3,6,168,32,47,1550,272,490,183
Toyota Prius 4dr (gas/electric),0,0,0,0,0,0,0,41020,37852,1.5,4,82,95,82,1311,269,445,173
Volkswagen Golf GLS 4dr,0,0,0,0,0,0,0,37430,34956,2,4,86,39,50,1314,251,419,173
Volkswagen GTI 1.8T 2dr hatch,0,0,0,0,0,0,0,39650,36218,1.8,4,134,39,50,1331,251,427,173
Volkswagen Jetta GLS TDI 4dr,0,0,0,0,0,0,0,42110,39276,1.9,4,75,61,74,1362,251,437,173
Volkswagen New Beetle GLS 1.8T 2dr,0,0,0,0,0,0,0,42110,39276,1.8,4,112,39,50,1279,251,409,173
Acura RSX Type S 2dr,0,0,0,0,0,0,0,47640,43522,2,4,149,39,50,1260,257,437,173
Acura TSX 4dr,0,0,0,0,0,0,0,53980,49294,2.4,4,149,35,47,1465,267,465,175
Audi A4 1.8T 4dr,0,0,0,0,0,0,0,51880,47016,1.8,4,127,35,50,1475,264,455,178
BMW 325i 4dr,0,0,0,0,0,0,1,56990,52310,2.5,6,137,32,47,1460,272,447,175
Buick LeSabre Custom 4dr,0,0,0,0,0,0,0,52940,48564,3.8,6,153,32,47,1618,284,508,188
Buick Regal LS 4dr,0,0,0,0,0,0,0,49790,45670,3.8,6,149,32,48,1570,277,498,185
Buick Regal GS 4dr,0,0,0,0,0,0,0,56690,52094,3.8,6,179,29,45,1604,277,498,185
Chevrolet Impala LS 4dr,0,0,0,0,0,0,0,50000,45862,3.8,6,149,32,48,1577,282,508,185
Chevrolet Impala SS 4dr,0,0,0,0,0,0,0,55990,51344,3.8,6,179,29,45,1636,282,508,185
Chevrolet Malibu LT 4dr,0,0,0,0,0,0,0,46990,43102,3.5,6,149,37,52,1504,269,478,178
Chevrolet Monte Carlo SS 2dr,0,0,0,0,0,0,0,48450,44444,3.8,6,149,29,45,1558,282,503,185
Chrysler 300M 4dr,0,0,0,0,0,0,0,59730,55594,3.5,6,186,29,43,1624,287,503,188
Chrysler Concorde LX 4dr,0,0,0,0,0,0,0,48260,44904,2.7,6,149,34,47,1578,287,528,188
Chrysler Concorde LXi 4dr,0,0,0,0,0,0,0,53720,49818,3.5,6,173,31,43,1609,287,528,188
Chrvsler PT Cruiser GT 4dr,0,0,0,0,0,0,0,51910,48344,2.4,4,164,34,43,1459,262,429,170
Chrysler Sebring convertible 2dr,0,0,0,0,0,0,0,50430,46902,2.4,4,112,35,48,1523,269,493,163
Dodge Intrepid ES 4dr,0,0,0,0,0,0,0,49770,46116,3.5,6,173,29,43,1582,287,518,191
Ford Crown Victoria 4dr,0,0,0,0,0,0,1,48690,45712,4.6,8,167,27,40,1840,292,538,198
Ford Crown Victoria LX 4dr,0,0,0,0,0,0,1,54740,50210,4.6,8,167,27,40,1840,292,538,198
Honda Accord LX V6 4dr,0,0,0,0,0,0,0,47520,42856,3,6,179,34,48,1519,274,483,183
Honda Accord EX V6 2dr,0,0,0,0,0,0,0,53920,48608,3,6,179,34,48,1494,267,478,180
Hyundai XG350 4dr,0,0,0,0,0,0,0,49178,44110,3.5,6,145,27,42,1656,274,488,183
Hyundai XG350 L 4dr,0,0,0,0,0,0,0,52378,46972,3.5,6,145,27,42,1656,274,488,183
Infiniti G35 4dr,0,0,0,0,0,0,1,56990,52314,3.5,6,194,29,42,1513,284,475,175
Infiniti G35 Sport Coupe 2dr,0,0,0,0,0,0,1,59590,55072,3.5,6,209,29,42,1549,284,462,183
Jaguar X-Type 2.5 4dr,0,0,0,0,0,1,0,59990,54710,2.5,6,143,29,42,1555,272,467,178
Kia Amanti 4dr,0,0,0,0,0,0,0,52000,47528,3.5,6,145,27,40,,279,498,185
Mercedes-Benz C230 Sport 2dr,0,0,0,0,0,0,1,52120,48498,1.8,4,141,35,48,1474,272,452,173
Mercedes-Benz C320 Sport 2dr,0,0,0,0,0,0,1,56740,52870,3.2,6,160,31,42,1556,272,452,173
Mercury Grand Marquis GS 4dr,0,0,0,0,0,0,1,49390,46434,4.6,8,167,27,40,1838,292,538,198
Mercury Grand Marquis LS Premium 4dr,0,0,0,0,0,0,1,59190,54296,4.6,8,167,27,40,1838,292,538,198
Mercury Sable LS Premium 4dr,0,0,0,0,0,0,0,47790,43836,3,6,150,31,42,1504,277,508,185
Mitsubishi Diamante LS 4dr,0,0,0,0,0,0,0,58564,54500,3.5,6,153,29,40,1610,272,493,178
Mitsubishi Galant GTS 4dr,0,0,0,0,0,0,0,51400,47766,3.8,6,172,29,42,1655,274,485,183
Nissan Altima SE 4dr,0,0,0,0,0,0,0,46580,43160,3.5,6,183,34,42,1450,279,488,178
Nissan Maxima SE 4dr,0,0,0,0,0,0,0,54980,50364,3.5,6,198,32,45,1575,282,493,183
Nissan Maxima SL 4dr,0,0,0,0,0,0,0,58880,53932,3.5,6,198,32,45,1577,282,493,183
Oldsmobile Alero GLS 2dr,0,0,0,0,0,0,0,47350,42970,3.4,6,127,32,47,1399,272,475,178
Pontiac Grand Prix GT2 4dr,0,0,0,0,0,0,0,48590,44568,3.8,6,149,32,48,1580,282,503,188
Subaru Legacy GT 4dr,0,0,0,0,0,1,0,51290,46672,2.5,4,123,34,45,1540,264,467,175
Subaru Outback Limited Sedan 4dr,0,0,0,0,0,1,0,54290,49374,2.5,4,123,32,43,1585,264,467,175
Subaru Outback H6 4dr,0,0,0,0,0,1,0,58690,53320,3,6,158,31,42,1637,264,467,175
Toyota Avalon XL 4dr,0,0,0,0,0,0,0,53120,47386,3,6,157,34,47,1550,272,488,183
Toyota Camry XLE V6 4dr,0,0,0,0,0,0,0,51840,46250,3,6,157,34,47,1525,272,480,180
Toyota Camry Solara SLE V6 2dr,0,0,0,0,0,0,0,53020,47816,3.3,6,168,32,47,1560,272,490,183
Volkswagen Jetta GLI VR6 4dr,0,0,0,0,0,0,0,47570,43372,2.8,6,149,34,48,1442,251,437,173
Volkswagen New Beetle GLS convertible 2dr,0,0,0,0,0,0,0,46430,43378,2,4,86,39,48,1398,251,409,173
Volkswagen Passat GLS 4dr,0,0,0,0,0,0,0,47910,43796,1.8,4,127,35,50,1470,269,470,175
Volvo S40 4dr,0,0,0,0,0,0,0,50270,47402,1.9,4,127,35,47,1255,257,452,173
Acura TL 4dr,0,0,0,0,0,0,0,66390,60598,3.2,6,201,32,45,1622,274,472,183
Audi A41.8T convertible 2dr,0,0,0,0,0,0,0,71880,65012,1.8,4,127,37,48,1650,267,457,178
Audi A4 3.0 4dr,0,0,0,0,0,0,0,63680,57692,3,6,164,32,45,1570,264,455,178
Audi A4 3.0 Quattro 4dr manual,0,0,0,0,0,1,0,66860,60732,3,6,164,27,42,1625,264,455,178
Audi A4 3.0 Quattro 4dr auto,0,0,0,0,0,1,0,68960,62776,3,6,164,29,40,1645,264,455,178
Audi A6 3.0 4dr,0,0,0,0,0,0,0,73280,66258,3,6,164,32,43,1615,277,488,180
Audi A6 3.0 Quattro 4dr,0,0,0,0,0,1,0,79280,71984,3,6,164,29,40,1760,277,488,180
BMW 325Ci 2dr,0,0,0,0,0,0,1,61590,56490,2.5,6,137,32,47,1450,272,450,175
BMW 325Ci convertible 2dr,0,0,0,0,0,0,1,75990,69600,2.5,6,137,31,43,1615,272,450,175
BMW 325xi 4dr,0,0,0,0,0,1,0,60490,55490,2.5,6,137,31,43,1570,272,447,175
BMW 330i 4dr,0,0,0,0,0,0,1,70990,65050,3,6,168,32,48,1490,272,447,175
BMW 330Ci 2dr,0,0,0,0,0,0,1,73990,67780,3,6,168,32,48,1490,272,447,175
BMW 330xi 4dr,0,0,0,0,0,1,0,74490,68230,3,6,168,32,47,1580,272,447,175
BMW 525i 4dr,0,0,0,0,0,0,1,79990,73240,2.5,6,137,31,45,1555,290,485,185
Buick LeSabre Limited 4dr,0,0,0,0,0,0,0,64490,59132,3.8,6,153,32,47,1629,284,508,188
Buick Park Avenue 4dr,0,0,0,0,0,0,0,71090,64488,3.8,6,153,32,47,1714,290,526,191
Cadillac CTS VVT 4dr,0,0,0,0,0,0,1,61670,57150,3.6,6,190,29,40,1676,287,483,180
Chrysler 300M Special Edition 4dr,0,0,0,0,0,0,0,66590,61768,3.5,6,190,29,43,1656,287,503,188
Chrysler Sebring Limited convertible 2dr,0,0,0,0,0,0,0,61900,57226,2.7,6,149,34,45,1564,269,493,175
Ford Crown Victoria LX Sport 4dr,0,0,0,0,0,0,1,60630,55512,4.6,8,178,27,40,1840,292,538,198
Infiniti G35 4dr,0,0,0,0,0,1,0,64890,59566,3.5,6,194,29,42,1668,284,475,175
Infiniti I35 4dr,0,0,0,0,0,0,0,62290,56640,3.5,6,190,31,42,1500,274,493,178
Jaguar X-Type 3.0 4dr,0,0,0,0,0,1,0,67990,61990,3,6,169,29,40,1595,272,467,178
Lexus ES 330 4dr,0,0,0,0,0,0,0,64700,57510,3.3,6,168,32,47,1569,272,485,180
Lexus IS 300 4dr manual,0,0,0,0,0,0,1,62090,54808,3,6,160,29,40,1476,267,450,173
Lexus IS 300 4dr auto,0,0,0,0,0,0,1,64830,57222,3,6,160,29,38,1490,267,450,173
Lincoln LS V6 Luxury 4dr,0,0,0,0,0,0,1,64990,59938,3,6,173,32,42,1670,292,493,185
Lincoln LS V6 Premium 4dr,0,0,0,0,0,0,1,73790,67858,3,6,173,32,42,1670,292,493,185
Mercedes-Benz C240 4dr,0,0,0,0,0,0,1,64560,60142,2.6,6,125,32,40,1524,272,452,173
Mercedes-Benz C240 4dr,0,0,0,0,0,1,0,66960,62374,2.6,6,125,31,40,1524,272,452,173
Mercedes-Benz C320 Sport 4dr,0,0,0,0,0,0,1,71840,66912,3.2,6,160,31,42,1556,272,452,173
Mercedes-Benz C320 4dr,0,0,0,0,0,0,1,75260,70092,3.2,6,160,32,42,1565,272,452,173
Mercedes-Benz C320 4dr,0,0,0,0,0,1,0,77660,72324,3.2,6,160,31,43,,272,452,173
Mercury Grand Marquis LS Ultimate 4dr,0,0,0,0,0,0,1,61790,56636,4.6,8,167,27,40,1838,292,538,198
Mercury Marauder 4dr,0,0,0,0,0,0,1,68990,63116,4.6,8,225,27,37,1903,292,538,198
Pontiac Bonneville GXP 4dr,0,0,0,0,0,0,0,71990,65994,4.6,8,205,,,1719,284,516,188
Saab 9-3 Arc Sport 4dr,0,0,0,0,0,0,0,61720,58538,2,4,157,32,45,1440,267,465,175
Saab 9-3 Aero 4dr,0,0,0,0,0,0,0,66720,63124,2,4,157,32,45,1440,267,465,175
Saab 9-5 Arc 4dr,0,0,0,0,0,0,0,70210,66022,2.3,4,164,34,47,1574,269,483,180
Saab 9-5 Aero 4dr,0,0,0,0,0,0,0,78930,75442,2.3,4,186,34,47,1574,269,483,180
Subaru Outback H-6 VDC 4dr,0,0,0,0,0,1,0,63090,57206,3,6,158,31,42,1647,264,467,175
Toyota Avalon XLS 4dr,0,0,0,0,0,0,0,61840,54542,3,6,157,34,47,1560,272,488,183
Volkswagen Passat GLX V6 4MOTION 4dr,0,0,0,0,0,0,0,66360,61166,2.8,6,142,31,42,1688,269,470,175
Volkswagen Passat W8 4MOTION 4dr,0,0,0,0,0,0,0,78470,72104,4,8,201,29,40,1793,269,470,175
Volvo S60 2.5 4dr,0,0,0,0,0,1,0,63490,59832,2.5,5,155,32,43,1770,272,457,180
Volvo S60 T5 4dr,0,0,0,0,0,0,0,69690,65804,2.3,5,184,32,45,1708,272,457,180
Volvo S60 R 4dr,0,0,0,0,0,1,0,75120,70764,2.5,5,224,29,40,1620,272,460,180
Volvo S80 2.9 4dr,0,0,0,0,0,0,0,75460,71084,2.9,6,155,32,45,1622,279,483,183
Volvo S80 2.5T 4dr,0,0,0,0,0,1,0,75770,71376,2.5,5,145,32,43,1674,279,483,183
Acura 3.5 RL 4dr,0,0,0,0,0,0,0,87510,78028,3.5,6,168,29,38,1760,292,500,183
Acura 3.5 RL w/Navigation 4dr,0,0,0,0,0,0,0,92200,82200,3.5,6,168,29,38,1766,292,500,183
Audi A4 3.0 convertible 2dr,0,0,0,0,0,0,0,84980,76650,3,6,164,32,43,1730,267,457,178
Audi A4 3.0 Quattro convertible 2dr,0,0,0,0,0,1,0,88480,80150,3,6,164,29,40,1820,267,457,178
Audi A6 2.7 Turbo Quattro 4dr,0,0,0,0,0,1,0,85680,77680,2.7,6,186,29,40,1740,277,488,180
Audi A6 4.2 Quattro 4dr,0,0,0,0,0,1,0,99380,89872,4.2,8,224,27,38,1825,277,490,180
Audi A8 L Quattro 4dr,0,0,0,0,0,1,0,138380,129480,4.2,8,246,27,38,1995,307,518,191
Audi S4 Quattro 4dr,0,0,0,0,0,1,0,96080,87112,4.2,8,254,23,32,1735,264,455,178
BMW 330Ci convertible 2dr,0,0,0,0,0,0,1,88590,81060,3,6,168,31,45,1640,272,450,175
BMW 530i 4dr,0,0,0,0,0,0,1,89990,82340,3,6,168,32,48,1575,290,485,185
BMW 545iA 4dr,0,0,0,0,0,0,1,109990,100540,4.4,8,242,29,42,1730,290,485,185
BMW 745i 4dr,0,0,0,0,0,0,1,138390,126380,4.4,8,242,29,42,1985,300,503,191
BMW 745Li 4dr,0,0,0,0,0,0,1,146390,133660,4.4,8,242,29,42,2025,312,518,191
Buick Park Avenue Ultra 4dr,0,0,0,0,0,0,0,81440,73854,3.8,6,179,29,45,1773,290,526,191
Cadillac Deville 4dr,0,0,0,0,0,0,0,90890,83300,4.6,8,205,29,42,1807,292,526,188
Cadillac Deville DTS 4dr,0,0,0,0,0,0,0,101190,92724,4.6,8,224,29,42,1834,292,526,188
Cadillac Seville SLS 4dr,0,0,0,0,0,0,0,95910,87682,4.6,8,205,29,42,1811,284,511,191
Infiniti M45 4dr,0,0,0,0,0,0,1,85690,77584,4.5,8,254,27,37,1747,279,500,178
Infiniti Q45 Luxury 4dr,0,0,0,0,0,0,1,105090,95150,4.5,8,254,27,37,1804,287,508,185
Jaguar S-Type 3.0 4dr,0,0,0,0,0,0,1,87790,80008,3,6,175,29,42,1713,292,488,183
Jaguar S-Type 4.2 4dr,0,0,0,0,0,0,1,99990,91112,4.2,8,219,29,45,1757,292,488,183
Jaguar S-Type R 4dr,0,0,0,0,0,0,1,126240,114998,4.2,8,291,27,38,1835,292,488,183
Jaguar Vanden Plas 4dr,0,0,0,0,0,0,1,137990,125692,4.2,8,219,29,45,1725,302,508,185
Jaguar XJ8 4dr,0,0,0,0,0,0,1,119990,109312,4.2,8,219,29,45,1725,302,508,185
Jaguar XJR 4dr,0,0,0,0,0,0,1,149990,136612,4.2,8,291,27,38,1791,302,508,185
Lexus GS 300 4dr,0,0,0,0,0,0,1,82020,72392,3,6,164,29,40,1655,279,480,180
Lexus GS 430 4dr,0,0,0,0,0,0,1,96900,84464,4.3,8,224,29,37,1685,279,480,180
Lexus LS 430 4dr,0,0,0,0,0,0,1,111500,97166,4.3,8,216,29,40,1810,292,500,183
Lincoln LS V8 Sport 4dr,0,0,0,0,0,0,1,80190,73618,3.9,8,209,27,38,1709,292,493,185
Lincoln LS V8 Ultimate 4dr,0,0,0,0,0,0,1,86990,79738,3.9,8,209,27,38,1709,292,493,185
Lincoln Town Car Signature 4dr,0,0,0,0,0,0,1,83630,76836,4.6,8,178,27,40,1982,300,546,198
Lincoln Town Car Ultimate 4dr,0,0,0,0,0,0,1,89850,82434,4.6,8,178,27,40,1982,300,546,198
Lincoln Town Car Ultimate L 4dr,0,0,0,0,0,0,1,100940,92416,4.6,8,178,27,40,2029,315,561,198
Mercedes-Benz C32 AMG 4dr,0,0,0,0,0,0,1,104240,97044,3.2,6,260,26,34,1606,272,452,173
Mercedes-Benz CL500 2dr,0,0,0,0,0,0,1,189640,176648,5,8,225,26,38,1853,290,498,185
Mercedes-Benz CL600 2dr,0,0,0,0,0,0,1,256840,239200,5.5,12,368,21,30,2029,290,498,185
Mercedes-Benz CLK320 coupe 2dr (convertible),0,0,0,0,0,0,1,91414,83932,3.2,6,160,32,42,1710,272,465,175
Mercedes-Benz CLK500 coupe 2dr (convertible),0,0,0,0,0,0,1,105600,98208,5,8,225,27,35,1626,272,465,175
Mercedes-Benz E320 4dr,0,0,0,0,0,0,1,96340,89698,3.2,6,165,31,43,1649,284,483,180
Mercedes-Benz E500 4dr,0,0,0,0,0,0,1,114540,106764,5,8,225,26,32,1730,284,483,180
Mercedes-Benz S430 4dr,0,0,0,0,0,0,1,148640,138336,4.3,8,205,29,42,1887,310,516,185
Mercedes-Benz S500 4dr,0,0,0,0,0,1,0,173940,161878,5,8,225,26,38,1991,310,516,185
Saab 9-3 Arc convertible 2dr,0,0,0,0,0,0,0,81340,77040,2,4,157,34,47,1579,267,462,175
Saab 9-3 Aero convertible 2dr,0,0,0,0,0,0,0,86350,81766,2,4,157,34,48,1678,267,462,175
Volkswagen Phaeton 4dr,0,0,0,0,0,0,0,130000,119824,4.2,8,250,,,2356,300,518,191
Volkswagen Phaeton W12 4dr,0,0,0,0,0,0,0,150000,138260,6,12,313,,,2449,300,518,191
Volvo C70 LPT convertible 2dr,0,0,0,0,0,0,0,81130,76406,2.4,5,147,34,45,1565,267,472,183
